"","Feature","Gain","Cover","Frequency","Importance"
"1","elo",0.192535325859347,0.109005404676911,0.17353579175705,0.192535325859347
"2","opp_elo",0.185227709276513,0.113601747405784,0.170643528561099,0.185227709276513
"3","location",0.184211384208504,0.0464581682377618,0.06941431670282,0.184211384208504
"4","run_epa_def_opp",0.0197243399934439,0.0308571292012992,0.0202458423716558,0.0197243399934439
"5","run_epa_def",0.0155564604749629,0.0271322260042445,0.0209689081706435,0.0155564604749629
"6","opp_passes",0.0154252397215384,0.0339390444669476,0.0202458423716558,0.0154252397215384
"7","passes",0.0147522508759923,0.0203750380125641,0.017353579175705,0.0147522508759923
"8","pass_epa",0.0135976309629192,0.0222355909840962,0.0187997107736804,0.0135976309629192
"9","runs_per_game_def_opp",0.0134055279912773,0.0279201192816641,0.0195227765726681,0.0134055279912773
"10","avg_pass_epa_def_opp",0.0128008546207524,0.0177870853851157,0.0159074475777296,0.0128008546207524
"11","run_epa",0.0125931499886514,0.0248504917139962,0.0159074475777296,0.0125931499886514
"12","pass_epa_opp",0.0122644458320419,0.0274613575136372,0.0166305133767173,0.0122644458320419
"13","pass_per_game",0.0121751404600355,0.0185865536627729,0.0151843817787419,0.0121751404600355
"14","def_run_int",0.0119645639554707,0.0163316471460768,0.0137382501807664,0.0119645639554707
"15","pass_int",0.0117787042873403,0.0196846041042368,0.0159074475777296,0.0117787042873403
"16","pass_per_game_opp",0.0114252943917386,0.0241117819298982,0.0151843817787419,0.0114252943917386
"17","runs_per_game_opp",0.0110942778620183,0.0200820656251747,0.0144613159797542,0.0110942778620183
"18","avg_pass_epa_def",0.0110437236519612,0.020067793485727,0.0159074475777296,0.0110437236519612
"19","run_int",0.0105756311419278,0.0187423048134083,0.0137382501807664,0.0105756311419278
"20","opp_total_pass_epa",0.0104857312900924,0.0156790853103519,0.0115690527838033,0.0104857312900924
"21","pass_per_game_def_opp",0.0103530022290523,0.0111066446754681,0.012292118582791,0.0103530022290523
"22","def_pass_int",0.0102704345419074,0.0129032629031846,0.012292118582791,0.0102704345419074
"23","opp_runs",0.00963885460299406,0.0101749066698444,0.0115690527838033,0.00963885460299406
"24","avg_run_epa_def",0.00960923408782593,0.0130030138012121,0.012292118582791,0.00960923408782593
"25","runs",0.00923523805280202,0.0130536968779493,0.012292118582791,0.00923523805280202
"26","runs_per_game_def",0.00920621594975909,0.0179482188226567,0.0130151843817787,0.00920621594975909
"27","total_pass_epa",0.0084204188701862,0.0162770418204783,0.0108459869848156,0.0084204188701862
"28","opp_points",0.00841171618585014,0.00957419151929291,0.012292118582791,0.00841171618585014
"29","run_epa.1",0.00832298488900247,0.0210367405924207,0.0130151843817787,0.00832298488900247
"30","avg_run_epa_def_opp",0.00808275561903663,0.0125845708730631,0.0101229211858279,0.00808275561903663
"31","points",0.00761933498038331,0.0128106956683815,0.0093998553868402,0.00761933498038331
"32","opp_pass_epa",0.0075362317674056,0.00963432588466339,0.0093998553868402,0.0075362317674056
"33","opp_run_epa",0.00699817211327827,0.00792426488033915,0.0108459869848156,0.00699817211327827
"34","pass_per_game_def",0.00692216347444526,0.00948159171599994,0.0101229211858279,0.00692216347444526
"35","run_freq_def",0.00686193239401556,0.00773240739737229,0.0093998553868402,0.00686193239401556
"36","avg_run_epa",0.00663288352555989,0.00921261574295261,0.0093998553868402,0.00663288352555989
"37","runs_per_game",0.00654007226023018,0.014316977781821,0.0093998553868402,0.00654007226023018
"38","opp_total_run_epa",0.0064429854273247,0.00398947795676001,0.00795372378886479,0.0064429854273247
"39","run_epa_opp",0.00630748705955339,0.0164083143148985,0.0108459869848156,0.00630748705955339
"40","pass_epa.1",0.00590266337910254,0.00748606001064521,0.00650759219088937,0.00590266337910254
"41","run_freq",0.00531640757902161,0.00759079104582666,0.00795372378886479,0.00531640757902161
"42","pass_epa_def_opp",0.00511869077360766,0.00792924814422348,0.0093998553868402,0.00511869077360766
"43","pass_freq_opp",0.0047316799574214,0.0124367934802895,0.00723065798987708,0.0047316799574214
"44","avg_run_epa_opp",0.00469469642364989,0.00569764569548786,0.00650759219088937,0.00469469642364989
"45","run_freq_opp",0.0045280969396053,0.0127794801334982,0.00650759219088937,0.0045280969396053
"46","predicted_score",0.00445926894522536,0.00544618252236581,0.00723065798987708,0.00445926894522536
"47","avg_pass_epa",0.00427208181029359,0.00705338628984004,0.00723065798987708,0.00427208181029359
"48","pass_epa_def",0.00425402154329002,0.00217627198341053,0.00723065798987708,0.00425402154329002
"49","avg_pass_epa_opp",0.004124058407858,0.00749229769606437,0.00723065798987708,0.004124058407858
"50","run_freq_def_opp",0.0036724988540086,0.00920263482202831,0.00506146059291396,0.0036724988540086
"51","pass_freq_def_opp",0.00359081977919465,0.00900697953309856,0.00506146059291396,0.00359081977919465
"52","total_run_epa",0.00345319480237707,0.00900755092396023,0.00578452639190166,0.00345319480237707
"53","pass_freq_def",0.00287194206569578,0.00552608802467245,0.00433839479392625,0.00287194206569578
"54","pass_freq",0.00257180015635763,0.0070690408795686,0.00433839479392625,0.00257180015635763
"55","games",0.000388573706149818,1.73499545932834e-05,0.000723065798987708,0.000388573706149818
